x,y,z,ux,uy,uz,sxx,syy,szz,sxy,sxz,syz,zone_id
0.1,0.1,0.1,0.0009764565100431057,0.0,0.0009816676197341226,-9.86423172413799,-9.945604965365643,-9.863793102689838,-1.2406802678576259e-06,0.00020012947147800568,1.0151084844190574e-06,1
0.3,0.1,0.1,0.0029199331430654414,0.0,0.000991223236542193,-9.86500942378423,-9.945600633740009,-9.862993744915372,2.455112162566363e-06,0.0006157448000305056,-1.916873127631319e-07,2
0.5,0.1,0.1,0.004835162151399152,0.0,0.001010575622816451,-9.86656979042567,-9.945587930409994,-9.861369861622938,1.0740837687088478e-05,0.0010135334406719235,-1.1400557196023868e-06,3
0.7,0.1,0.1,0.006703145668965454,0.0,0.0010399133142235683,-9.868908805976393,-9.945561871376512,-9.858900550910754,-1.7529838473990893e-06,0.0014136619716881224,-7.406351015322051e-07,4
0.9,0.1,0.1,0.008504070304269891,0.0,0.001079405604370744,-9.872107660026392,-9.945538391113319,-9.855584295539133,-1.0827570458041597e-05,0.001832871580390279,-1.592191419681376e-07,5
1.1,0.1,0.1,0.010218995664950761,0.0,0.0011289745621514626,-9.875997121404742,-9.945476973604281,-9.85138774661536,3.256986479145518e-06,0.0022409814600336583,5.961266002784525e-07,6
1.3,0.1,0.1,0.01182829160959071,0.0,0.0011893702870752541,-9.880788530402235,-9.945416224849353,-9.846292593844714,2.5537997112376757e-06,0.0026834293189041845,9.82181892377602e-07,7
1.5,0.1,0.1,0.01331072655495225,0.0,0.0012613750247427178,-9.886426546148599,-9.94532584569039,-9.840202682302296,3.0818062456409286e-06,0.0031043564348891876,5.59878413189931e-07,8
1.6999999999999997,0.1,0.1,0.014644193076141456,0.0,0.0013454320896105674,-9.892993437178877,-9.945216712634446,-9.833090125996845,2.4901707546438593e-06,0.003546290695580786,4.3510697217937464e-07,9
1.9,0.1,0.1,0.01580535337609393,0.0,0.0014423395592453232,-9.900531745423146,-9.94508270276248,-9.824881768389723,-1.231816254433625e-05,0.004012473416534934,1.7623979777805091e-06,10
2.0999999999999996,0.1,0.1,0.016771367611301023,0.0,0.001552344079519137,-9.908921938779518,-9.944888739026398,-9.815521756352808,-1.127780210350889e-06,0.004462691989248376,2.7859891601175272e-06,11
2.3,0.1,0.1,0.017519698124282664,0.0,0.0016760357579883706,-9.918237591583377,-9.944640882901854,-9.804966822929305,1.8638855316467137e-05,0.004921703342676873,2.628838478340912e-06,12
2.5000000000000004,0.1,0.1,0.01802675905457027,0.0,0.001813602650792938,-9.928474743256007,-9.944334353627244,-9.793197024880795,-1.495971908742236e-05,0.005388486900705311,4.649730446065619e-06,13
2.7,0.1,0.1,0.01826966225904387,0.0,0.0019643155348601817,-9.939588518768288,-9.943972616589058,-9.780274564177677,-5.908345628386882e-06,0.005857778963295355,4.221945549494245e-06,14
2.9000000000000004,0.1,0.1,0.01822798462969623,0.0,0.0021276281037876836,-9.951379412694772,-9.943517224530305,-9.766206709960196,1.4478735187048378e-05,0.006256010456018658,3.0328334980618806e-06,15
3.0999999999999996,0.1,0.1,0.01788188612094972,0.0,0.0023019456714600682,-9.964030069733473,-9.943047815087715,-9.751209005705297,2.3995307800844877e-05,0.0065525972466624486,6.136791066122184e-06,16
3.3,0.1,0.1,0.017215294545359246,0.0,0.0024841366832657518,-9.97709143556656,-9.94251723911602,-9.735494760014022,3.229321280001807e-05,0.006680507679295366,4.9523873609148186e-06,17
3.5,0.1,0.1,0.0162184455995042,0.0,0.002670555783163291,-9.990479207935616,-9.941979835756408,-9.719419970853304,-2.2692500547364108e-06,0.006689306484189017,2.855131414795617e-06,18
3.7,0.1,0.1,0.01488975823470842,0.0,0.0028555493496992958,-10.003657517417702,-9.941420625248426,-9.703445608825207,-7.569416560644305e-06,0.00647981855447894,3.4181955268288758e-06,19
3.9,0.1,0.1,0.013238775342608906,0.0,0.003032295280359723,-10.016231366978475,-9.940882208991857,-9.68817967798155,5.013402905312186e-06,0.006067316025444833,1.1614752213618112e-06,20
4.1,0.1,0.1,0.011287476424718647,0.0,0.0031945458199852447,-10.027601225050635,-9.940343650696477,-9.674117028432475,7.883221004166596e-06,0.005433662638884125,-4.229606163651014e-08,21
4.3,0.1,0.1,0.009068266826345496,0.0,0.003335757643470936,-10.037570498683651,-9.939893400878367,-9.66189650570911,-2.5703419873758996e-05,0.004541228696347657,7.265668373385492e-07,22
4.500000000000001,0.1,0.1,0.006624434564863887,0.0,0.0034492341157580323,-10.04549269806872,-9.939509329955794,-9.652053951710746,-2.6540241913337564e-05,0.0034135317788333945,7.446383546539583e-07,23
4.7,0.1,0.1,0.0040110678359609455,0.0,0.0035288053440163157,-10.051050217979512,-9.93924080911759,-9.645153827615173,4.629349294383568e-06,0.002123841288182817,2.2647837248222004e-07,24
4.9,0.1,0.1,0.0012920207136882457,0.0,0.0035701321111395786,-10.053876456724401,-9.939086525836794,-9.641556172459994,7.237264600217911e-06,0.0007275648989194693,-2.2183943849184287e-07,25
5.1000000000000005,0.1,0.1,-0.0014628897472300088,0.0,0.0035710711878344415,-10.053860959992779,-9.939063128573112,-9.641454682873285,2.5910730126922457e-06,-0.0007179972833747168,-3.1873388296959615e-08,26
5.3,0.1,0.1,-0.004182422985884264,0.0,0.0035316579670793616,-10.051011382167596,-9.939172026155326,-9.64484874860933,3.547849265636124e-06,-0.002122524375833854,-1.1180745778048439e-06,27
5.5,0.1,0.1,-0.006797491304987836,0.0,0.0034540973934359944,-10.0455082199611,-9.93941226662585,-9.651553113168712,1.1124884675491305e-05,-0.0033955265149431826,-1.686900884435684e-06,28
5.699999999999999,0.1,0.1,-0.009243861953506188,0.0,0.0033424967997180343,-10.037528957784435,-9.939742450099684,-9.661183292721294,1.4755223416006022e-05,-0.004492620195853804,-1.0215115086903483e-06,29
5.9,0.1,0.1,-0.011465479689366433,0.0,0.00320248194864137,-10.027519173094033,-9.940157113931809,-9.67326639656562,1.6373909630000342e-05,-0.005406415621394147,-7.702449513169259e-07,30
6.1000000000000005,0.1,0.1,-0.013418460268256655,0.0,0.0030409294232368834,-10.016038366412463,-9.940653005002442,-9.687226658600151,7.978320348127047e-06,-0.006090619378129989,5.12351162005506e-08,31
6.3,0.1,0.1,-0.01507108545099147,0.0,0.0028654257985242723,-10.003505762540186,-9.941177495938051,-9.702381717150368,3.331109753296298e-06,-0.006538247119761283,6.073101120625848e-07,32
6.5,0.1,0.1,-0.016403037576335825,0.0,0.002682253570575352,-9.990379053949344,-9.941712897880105,-9.718185435451538,1.768713405656137e-05,-0.006762259753968593,-5.997049270476228e-07,33
6.700000000000001,0.1,0.1,-0.017403892049380087,0.0,0.0024969905071583623,-9.976960933703374,-9.942218229204416,-9.73413021231926,7.784353592912356e-06,-0.00674060906784382,-4.5139766518478996e-08,34
6.9,0.1,0.1,-0.018074167642819036,0.0,0.0023149636396879647,-9.963848040066097,-9.942731412450636,-9.749809022194007,-1.056405138528295e-05,-0.006554560398955722,1.990726275246332e-06,35
7.1,0.1,0.1,-0.018422474656813834,0.0,0.0021405378885286635,-9.951081836433046,-9.943172758842158,-9.764781957784951,1.0187149234843078e-05,-0.006234655592025749,2.9832935187056406e-06,36
7.299999999999999,0.1,0.1,-0.01846339453617942,0.0,0.001976835941374698,-9.93909077079611,-9.94358615996825,-9.778840029046712,2.4317947648305853e-05,-0.005858111021369888,2.664172055782583e-06,37
7.5,0.1,0.1,-0.018216861880630476,0.0,0.001825456820252422,-9.927902597303532,-9.943943053151928,-9.791812668463143,4.106253910341621e-06,-0.005425090510118538,9.151304725034796e-07,38
7.700000000000001,0.1,0.1,-0.017704078983473287,0.0,0.0016874652512379206,-9.917540540279703,-9.944227198285342,-9.803595451148745,-1.7340666024712842e-05,-0.004958890582884356,9.186348624284893e-07,39
7.9,0.1,0.1,-0.016947667748385593,0.0,0.0015630932713766293,-9.908110797834494,-9.944461929498488,-9.814198849664855,-3.225095372040524e-05,-0.004485465613091033,2.8912939171068075e-06,40
8.100000000000001,0.1,0.1,-0.01597118772363616,0.0,0.0014521325530319955,-9.899630598450592,-9.944654345962249,-9.823641131367742,-2.3372377194907388e-05,-0.004023810686094741,2.6020167842722874e-06,41
8.299999999999999,0.1,0.1,-0.01479834572763286,0.0,0.0013545432255927423,-9.892075691142924,-9.944798417661138,-9.831916397164862,-3.45029999428053e-06,-0.003580494549537412,8.89217966305731e-07,42
8.5,0.1,0.1,-0.013452664412287917,0.0,0.0012698269662646722,-9.885492463536101,-9.94491704934465,-9.839092783194236,-1.7747849144630334e-05,-0.0031484022807718574,-4.2984551207775895e-08,43
8.700000000000001,0.1,0.1,-0.011956729040961482,0.0,0.0011971910907898936,-9.879753526311717,-9.944995315887448,-9.845223053127174,-3.277421610960346e-05,-0.002689830268402257,-5.638864794834957e-07,44
8.9,0.1,0.1,-0.01033185995113323,0.0,0.001136109559413661,-9.874875982092771,-9.945048589384982,-9.850366964839365,-8.398305906597484e-06,-0.002243652356321649,-3.661058536521794e-07,45
9.100000000000001,0.1,0.1,-0.008599024439461462,0.0,0.0010860118885979392,-9.870850841009956,-9.945085947866584,-9.854578898324915,5.104256265683541e-06,-0.0018286535014106766,6.416485203637153e-07,46
9.3,0.1,0.1,-0.006778515924714833,0.0,0.0010462806802425013,-9.867623350742022,-9.945106701813023,-9.857910158327508,-5.254872889159131e-06,-0.0014191265657535982,1.2122223378489274e-06,47
9.499999999999998,0.1,0.1,-0.004890101580315211,0.0,0.0010167106450591978,-9.865234600086799,-9.945125659381528,-9.86039369682214,-3.3172150172215024e-06,-0.0010056299606242263,1.8312227331389342e-07,48
9.700000000000001,0.1,0.1,-0.002953423607113802,0.0,0.0009971773469355121,-9.863624253034072,-9.945130166689637,-9.86202658041575,2.3808116814741653e-06,-0.0005978872909024601,2.1325717390279676e-08,49
9.9,0.1,0.1,-0.0009877193355572063,0.0,0.0009874392890588893,-9.862815405116192,-9.945130959464636,-9.862839392213887,1.47203362809454e-06,-0.0001977260396787242,8.674914283219984e-08,50
0.1,0.1,0.3,0.0009862108785353328,0.0,0.002935556452184968,-9.863411504901043,-9.945597588834065,-9.864576439269328,-2.114760265726904e-06,0.0005924625686676383,5.276902535003837e-07,51
0.3,0.1,0.3,0.002949165025587782,0.0,0.0029641505117539856,-9.864192895678181,-9.945595323676853,-9.863783722706136,1.913148937779058e-06,0.0018043011656267898,-6.610099620920654e-06,52
0.5,0.1,0.3,0.004883459305364432,0.0,0.0030221000948375265,-9.865796925708812,-9.945595264702655,-9.862179397803697,7.395292306993186e-06,0.003017935481216857,-8.67140804072869e-06,53
0.7,0.1,0.3,0.006770215392739393,0.0,0.003110078819484826,-9.868135184635669,-9.945569325992542,-9.85971144533173,2.2954278554066112e-07,0.004249711494611425,-4.6054526942846386e-06,54
